Kabupaten/Kota;Jumlah Rumah Tangga;Penduduk Laki-laki;Penduduk Perempuan;Jumlah Penduduk;Kepadatan (jiwa/km2)
Simeulue;20145;41744;41429;83173;46
Aceh Singkil;24903;56987;53719;110706;60
Aceh Selatan;48970;107131;102940;210071;50
Aceh Tenggara;43747;95646;90437;186083;45
Aceh Timur;87994;200875;192260;393135;72
Aceh Tengah;46900;94711;91022;185733;42
Aceh Barat;46247;95983;91476;187459;68
Aceh Besar;87793;195269;188208;383477;132
Pidie;99656;199198;199248;398446;126
Bireuen;95779;208956;204861;413817;230
Aceh Utara;130035;279122;277434;556556;207
Aceh Barat Daya;30335;67942;65249;131191;71
Gayo Lues;20827;43551;40960;84511;15
Aceh Tamiang;62929;136729;127691;264420;125
Nagan Raya;38178;76662;72934;149596;42
Aceh Jaya;22660;43715;42193;85908;22
Bener Meriah;33935;66775;65224;131999;69
Pidie Jaya;36194;71250;69519;140769;148
Banda Aceh;60033;123106;126176;249282;4451
Sabang;8355;16469;15722;32191;264
Langsa;35027;79187;77824;157011;773
Lhokseumawe;41188;91212;90764;181976;1189
Subulussalam;15469;37441;34973;71414;62
Jumlah/Total;1137299;2418378;2373546;4791924;84
