Kabupaten/Kota;Ibukota;Kecamatan;Mukim;Gampong
Simeulue;Sinabang;10;29;138
Aceh Singkil;Singkil;11;16;116
Aceh Selatan;Tapaktuan;18;43;260
Aceh Tenggara;Kutacane;16;51;385
Aceh Timur;Idi;24;53;511
Aceh Tengah;Takengon;14;18;295
Aceh Barat;Meulaboh;12;32;322
Aceh Besar;Kota Jantho;23;68;604
Pidie;Sigli;23;94;727
Bireuen;Bireuen;17;75;609
Aceh Utara;Lhoksukon;27;67;852
Aceh Barat Daya;Blangpidie;9;20;132
Gayo Lues;Blangkejeren;11;25;136
Aceh Tamiang;Karang Baru;12;27;213
Nagan Raya;Suka Makmue;10;30;222
Aceh Jaya;Calang;9;21;172
Bener Meriah;Simpang Tiga Redelong;10;11;232
Pidie Jaya;Meureudu;8;34;222
Banda Aceh;Banda Aceh;9;17;90
Sabang;Sabang;2;7;18
Langsa;Langsa;5;6;66
Lhokseumawe;Lhokseumawe;4;9;68
Subulussalam;Subulussalam;5;8;74
Jumlah;;289;761;6464
