Tahun;Produksi Listrik (000 kWh);Jumlah Langganan;Listrik Terjual (000 kWh);Nilai Penjualan (000 Rupiah)
1968;8.832;8.426;;39.942
1969;10.796;8.469;8.800;100.165
1970;13.140;8.640;10.459;119.984
1971;14.218;8.736;11.023;124.774
1972;15.195;9.164;11.862;134.465
1973;17.321;10.331;13.301;163.968
1974/1975;18.988;11.869;14.834;234.323
1975/1976;21.351;12.963;19.650;402.783
1976/1977;24.842;14.029;19.362;587.735
1977/1978;28.925;15.709;23.052;717.856
1978/1979;34.924;18.596;25.671;819.034
1979/1980;42.077;22.894;31.380;1.018.124
1980/1981;52.253;27.851;37.432;1.967.786
1981/1982;63.472;33.033;45.455;1.530.864
1982/1983;70.905;38.694;62.750;4.308.445
1983/1984;84.726;45.340;63.268;5.763.948
1984/1985;97.515;54.152;64.707;7.547.780
1985/1986;106.247;68.813;72.121;8.351.635
1986/1987;124.035;90.046;89.679;10.164.555
1987/1988;146.528;113.796;103.584;11.761.254
1988/1989;173.745;136.019;123.928;14.146.292
1989/1990;208.766;156.244;153.928;21.292.953
1990/1991;238.812;180.548;177.384;23.856.207
1991/1992;262.158;201.637;197.039;28.724.748
1992/1993;288.117;228.981;224.529;33.361.515
1993/1994;309.120;260.639;249.980;40.764.722
1994;331.799;290.341;269.943;44.496.720
1995;394.078;334.206;324.977;56.095.660
1996;446.688;378.636;372.185;65.188.215
1997;481.984;441.911;423.541;75.913.456
1998;532.272;493.450;464.779;101.602.518
1999;126.286;526.094;475.400;109.364.444
2000;150.633;565.468;506.310;130.515.072
2001;157.396;583.294;511.888;152.170.946
2002;163.061;601.300;494.772;208.635.313
2003;202.674;624.353;577.554;306.769.615
2004;208.461;660.749;701.485;368.742.634
2005;147.193;665.957;698.932;306.769.615
2006;170.101;726.001;839.233;454.999.608
2007;211.376;819.919;997.357;550.481.088
2008;238.610;900.042;1.149.698;688.685.534
2009;288.325;938.994;1.276.452;786.264.684
2010;206.987;987.027;1.491.936;929.737.238
2011;104.821;1.050.139;1.579.768;1.044.837.514
2012;93.723;1.082.218;1.755.068;1.168.559.517
2013;74.113;1.127.469;1.815.030;1.329.291.874
