bps_kode_provinsi;bps_nama_provinsi;tahun;migas dan non migas;PDRB ADHB;PDRB ADHK;satuan
11;Aceh;1975;Migas;192133.61;192133.61;Juta Rupiah
11;Aceh;1976;Migas;243037.53;221108.81;Juta Rupiah
11;Aceh;1977;Migas;292388.58;231706.91;Juta Rupiah
11;Aceh;1978;Migas;428815.99;305061.41;Juta Rupiah
11;Aceh;1979;Migas;904359.83;448601.76;Juta Rupiah
11;Aceh;1980;Migas;1698237.53;534854.67;Juta Rupiah
11;Aceh;1981;Migas;2025622.17;593950.08;Juta Rupiah
11;Aceh;1982;Migas;2358472.66;628425.12;Juta Rupiah
11;Aceh;1983;Migas;4165739.33;4165739.33;Juta Rupiah
11;Aceh;1984;Migas;5204121.41;5007586.31;Juta Rupiah
11;Aceh;1985;Migas;5337969.77;5266331.91;Juta Rupiah
11;Aceh;1986;Migas;5759950.6;5406362.07;Juta Rupiah
11;Aceh;1987;Migas;6244904.63;5683941.17;Juta Rupiah
11;Aceh;1988;Migas;6067027.48;5009734.14;Juta Rupiah
11;Aceh;1989;Migas;6699284.82;5418263.86;Juta Rupiah
11;Aceh;1990;Migas;7237788.34;5715202.5;Juta Rupiah
11;Aceh;1991;Migas;7968716.19;6019859.75;Juta Rupiah
11;Aceh;1992;Migas;8622555.99;6271884.78;Juta Rupiah
11;Aceh;1993;Migas;10883405.37;10883405.37;Juta Rupiah
11;Aceh;1994;Migas;11244014.54;11026161.68;Juta Rupiah
11;Aceh;1995;Migas;13091228.36;11186674.11;Juta Rupiah
11;Aceh;1996;Migas;14636988.48;11463291.09;Juta Rupiah
11;Aceh;1997;Migas;17056027.89;11444453.84;Juta Rupiah
11;Aceh;1998;Migas;24956859.3;10384957.54;Juta Rupiah
11;Aceh;1999;Migas;26991583.12;9949895.72;Juta Rupiah
11;Aceh;2000;Migas;39501352.02;39501352.02;Juta Rupiah
11;Aceh;2001;Migas;37654639.41;35262979.7;Juta Rupiah
11;Aceh;2002;Migas;43705666.44;42338751.34;Juta Rupiah
11;Aceh;2003;Migas;48619149.27;44677163.21;Juta Rupiah
11;Aceh;2004;Migas;50357261.98;40374282.31;Juta Rupiah
11;Aceh;2005;Migas;56951612;36287915.3;Juta Rupiah
11;Aceh;2006;Migas;70786835.17;36853868.67;Juta Rupiah
11;Aceh;2007;Migas;71093359.41;35983090.81;Juta Rupiah
11;Aceh;2008;Migas;73547550.72;34097992.47;Juta Rupiah
11;Aceh;2009;Migas;71986954;32219086.32;Juta Rupiah
11;Aceh;2010;Migas;79145279.1;33103082.84;Juta Rupiah
11;Aceh;2011;Migas;87530417.77;34704817.95;Juta Rupiah
11;Aceh;2012;Migas;95074218.67;36487880.08;Juta Rupiah
11;Aceh;2013;Migas;103045561;38012966.71;Juta Rupiah
11;Aceh;1975;NonMigas;160389.88;160389.88;Juta Rupiah
11;Aceh;1976;NonMigas;217374.32;196087.96;Juta Rupiah
11;Aceh;1977;NonMigas;268473.86;209625.54;Juta Rupiah
11;Aceh;1978;NonMigas;307565.29;214324.85;Juta Rupiah
11;Aceh;1979;NonMigas;415578.88;225291.55;Juta Rupiah
11;Aceh;1980;NonMigas;572340.3;254110.31;Juta Rupiah
11;Aceh;1981;NonMigas;735185.3;292783.85;Juta Rupiah
11;Aceh;1982;NonMigas;922895.91;322292.91;Juta Rupiah
11;Aceh;1983;NonMigas;1243605.35;1243605.35;Juta Rupiah
11;Aceh;1984;NonMigas;1411513.88;1299123.6;Juta Rupiah
11;Aceh;1985;NonMigas;1660380.72;1363176.75;Juta Rupiah
11;Aceh;1986;NonMigas;1839390.29;1455344.02;Juta Rupiah
11;Aceh;1987;NonMigas;2038828.55;1479073.35;Juta Rupiah
11;Aceh;1988;NonMigas;2292906.59;1534684.37;Juta Rupiah
11;Aceh;1989;NonMigas;2571790.49;1654807.72;Juta Rupiah
11;Aceh;1990;NonMigas;2923136.63;1772874.47;Juta Rupiah
11;Aceh;1991;NonMigas;3404544.9;1899446.62;Juta Rupiah
11;Aceh;1992;NonMigas;3984715.24;2059908.85;Juta Rupiah
11;Aceh;1993;NonMigas;4826526.79;4826526.79;Juta Rupiah
11;Aceh;1994;NonMigas;5787368.46;5294948.14;Juta Rupiah
11;Aceh;1995;NonMigas;7163976.6;5756875.02;Juta Rupiah
11;Aceh;1996;NonMigas;8232960.31;6199551.39;Juta Rupiah
11;Aceh;1997;NonMigas;9113984.69;6526730.46;Juta Rupiah
11;Aceh;1998;NonMigas;10987616.63;6149195.23;Juta Rupiah
11;Aceh;1999;NonMigas;13629004.84;6067695.42;Juta Rupiah
11;Aceh;2000;NonMigas;19626691.47;19626691.47;Juta Rupiah
11;Aceh;2001;NonMigas;21230620.42;19539800.56;Juta Rupiah
11;Aceh;2002;NonMigas;24488662.91;21095274.35;Juta Rupiah
11;Aceh;2003;NonMigas;27011582.3;21875760.4;Juta Rupiah
11;Aceh;2004;NonMigas;30149761.24;22260704.22;Juta Rupiah
11;Aceh;2005;NonMigas;35449322.01;22531791.75;Juta Rupiah
11;Aceh;2006;NonMigas;44899256.64;24267797.86;Juta Rupiah
11;Aceh;2007;NonMigas;49718173.09;26022200.97;Juta Rupiah
11;Aceh;2008;NonMigas;54209880.05;26523093.38;Juta Rupiah
11;Aceh;2009;NonMigas;58907781.78;27574794.89;Juta Rupiah
11;Aceh;2010;NonMigas;66005798.4;29072034.52;Juta Rupiah
11;Aceh;2011;NonMigas;73462650.54;30726190.37;Juta Rupiah
11;Aceh;2012;NonMigas;80724754.85;32591172.83;Juta Rupiah
11;Aceh;2013;NonMigas;89108855.96;34339546.4;Juta Rupiah
