Tahun;Bekerja;Pengangguran;Jumlah Angkatan Kerja;Bukan Angkatan Kerja;Jumlah;TPT (%);TPAK (%)
1971a;644.319;68.565;712.884;1.078.626;1.791.510;9.62;39.79
1980a;832.520;13.896;846.416;959.557;1.805.973;1.64;46.87
1985a;1.091.976;21.505;1.113.481;994.099;2.107.580;1.93;52.83
1990a;1.275.053;36.904;1.311.957;1.152.795;2.464.752;2.81;53.23
1991a;1.331.399;40.630;1.372.029;1.175.441;2.547.470;2.96;53.86
1992a;1.452.849;55.611;1.508.460;1.136.145;2.644.605;3.69;57.04
1993a;1.520.088;73.264;1.593.352;1.125.780;2.719.132;4.60;58.60
1994a;1.461.442;87.801;1.549.243;1.243.037;2.792.280;5.67;55.48
1995a;1.502.875;120.418;1.623.293;1.297.171;2.920.464;7.42;55.58
1996a;1.552.538;106.490;1.659.028;1.286.717;2.945.745;6.42;56.32
1997a;1.578.487;119.223;1.697.710;1.354.123;3.051.833;7.02;55.63
1998a;1.541.024;216.626;1.757.650;1.388.390;3.146.040;12.32;55.87
2002b;1.452.258;149.652;1.601.910;990.322;2.592.232;9.34;61.80
2003b;2.254.155;284.034;2.538.189;1.525.362;4.063.551;11.19;62.46
2004b;1.522.504;156.960;1.679.464;1.018.187;2.697.651;9.35;62.26
2005b;1.541.973;220.241;1.762.214;812.674;2.574.888;12.50;68.44
2006b;1.624.335;189.169;1.813.504;933.799;2.747.303;10.43;66.01
2007b;1.570.761;171.424;1.742.185;1.062.423;2.804.608;9.84;62.12
2008b;1.621.998;171.412;1.793.410;1.179.573;2.972.983;9.56;60.32
2009b;1.732.561;165.361;1.897.922;1.138.837;3.036.759;8.71;62.50
2010b;1.776.254;162.265;1.938.519;1.130.131;3.068.650;8.37;63.17
2011b;1.852.473;148.786;2.001.259;1.136.272;3.137.531;7.43;63.78
2012b;1.798.547;179.944;1.978.491;1.224.473;3.202.964;9.10;61.77
2013b;1.824.586;209.521;2.034.107;1.242.836;3.276.943;10.30;62.07
