Tahun;Pertanian;Industri Pengolahan;Perdagangan;Jasa;Lainnya;Jumlah
1971a;481.054;21.590;40.664;48.267;52.744;644.319
1980a;588.645;32.826;65.797;99.047;46.205;832.520
1985a;742.118;48.378;119.808;127.693;53.970;1.091.967
1990a;835.381;67.004;130.628;139.609;102.431;1.275.053
1991a;885.052;75.820;138.237;146.977;85.313;1.331.399
1992a;1.013.934;57.001;123.568;159.121;99.225;1.452.849
1993a;1.001.405;62.225;153.608;181.260;121.560;1.520.058
1994a;932.713;65.088;160.471;194.987;108.183;1.461.442
1995a;921.864;92.878;167.571;203.940;116.622;1.502.875
1996a;917.538;89.115;198.059;226.128;121.698;1.552.538
1997a;933.833;86.975;213.569;226.513;117.597;1.578.487
1998a;924.876;90.144;196.773;231.553;97.698;1.541.044
2006b;542.518;7.173;74.088;32.109;394.791;1.050.679
2007b;780.344;75.812;248.516;257.688;208.401;1.570.761
2008b;786.198;86.762;252.853;282.749;213.436;1.621.998
2009b;847.095;80.772;264.453;331.508;208.733;1.732.561
2010b;809.788;77.828;314.323;361.971;212.344;1.776.254
2011b;898.225;72.509;299.183;358.704;223.852;1.852.473
2012b;842.866;73.844;282.455;353.716;245.666;1.798.547
2013b;848.932;73.877;311.346;378.077;212.354;1.824.586
