Tahun;Tidak/Belum Sekolah;SD;SMP;SMA;Perguruan Tinggi;Jumlah
1971a;414122;149747;49991;28497;1962;644319
1980a;218862;309672;57902;51468;4162;642066
1985a;166779;651881;138703;100505;13832;1071700
1990a;528197;387829;163399;167635;27993;1275053
1991a;633067;350513;146375;169639;31805;1331399
1993a;141565;502555;224031;206961;52661;1127773
1995a;535308;554260;162263;204150;46894;1502875
1996a;412801;572576;248425;259740;58996;1552538
1997a;436735;534776;265173;282232;59571;1578487
1998a;426360;522084;258880;275534;58166;1541024
2007b;172020;472028;414806;372477;139430;1570761
2008b;208869;493296;357066;402344;160423;1621998
2009b;296927;420749;375467;458913;180505;1732561
2010b;272232;419764;395171;483689;205398;1776254
2011b;280182;431306;393900;519684;227401;1852473
2012b;231613;436590;404666;501897;223781;1798547
2013b;222660;437643;383632;537997;242654;1824586
