Tahun;Tidak/Belum Sekolah;SD;SMP;SMA;Perguruan Tinggi;TPT
1971a;2.10;11.00;11.70;25.30;2.60;9.62
1980a;1.10;1.70;1.80;3.90;0.40;2.81
1985a;0.70;0.20;3.90;23.60;21.40;1.93
1990a;1.10;1.60;3.30;8.10;7.90;2.81
1994a;1.20;2.40;3.20;6.50;6.50;5.67
1995a;1.20;3.50;11.40;20.10;14.90;7.42
1996a;1.20;1.10;3.10;8.30;15.60;6.42
1997a;0.60;3.20;8.70;15.90;17.60;7.02
1998a;4.80;7.00;14.50;35.50;34.70;12.32
2007b;6.42;6.80;8.85;16.28;8.23;9.84
2008b;3.57;5.03;9.00;16.62;12.08;9.56
2009b;2.81;5.04;8.03;15.57;8.61;8.71
2010b;2.89;4.70;6.65;14.51;10.15;8.37
2011b;3.10;3.42;7.53;12.52;7.39;7.43
2012b;3.40;5.19;8.91;15.46;6.88;9.10
2013b;3.67;5.70;10.01;16.21;10.29;10.30
