Tahun;Ekspor;Impor;Neraca Perdagangan
1959;42.344;;42.344
1960;22.448;;22.448
1961;16.995;;16.995
1962;20.566;;20.566
1963;8.319;;8.319
1964;5.680;;5.680
1965;11.030;942;10.088
1966;9.239;601;8.638
1967;7.823;395;7.428
1968;11.164;358;10.806
1969;8.790;1.223;7.567
1970;13.090;1.399;11.691
1971;11.530;2.207;9.323
1972;12.621;1.772;10.849
1973;12.818;3.445;9.373
1974;26.051;2.180;23.871
1975;24.595;84;24.511
1976;30.224;7.585;22.639
1977;55.940;3.399;52.541
1978;212.732;1.602;211.130
1979;893.454;23.704;869.750
1980;1.898.583;21.361;1.877.222
1981;2.264.687;60.377;2.204.310
1982;2.576.382;450.507;2.125.875
1983;2.366.940;427.571;1.939.369
1984;2.761.165;151.330;2.609.835
1985;2.864.827;251.560;2.613.267
1986;1.965.204;185.707;1.779.497
1987;2.111.074;341.848;1.769.226
1988;2.151.487;317.146;1.834.341
1989;2.474.917;164.536;2.310.381
1990;2.979.073;88.059;2.891.014
1991;3.107.077;168.203;2.938.874
1992;3.039.019;115.842;2.923.177
1993;2.894.770;257.177;2.637.593
1994;2.479.931;101.929;2.378.002
1995;2.562.374;75.031;2.487.343
1996;2.579.270;112.462;2.466.808
1997;2.654.301;123.897;2.530.404
1998;2.059.087;128.861;1.930.226
1999;1.780.913;73.020;1.707.893
2000;1.806.083;70.319;1.735.764
2001;666.739;120.368;546.371
2002;1.571.114;23.851;1.547.263
2003;1.704.621;51.533;1.653.088
2004;1.812.364;52.999;1.759.365
2005;2.072.415;18.414;2.054.001
2006;2.032.791;36.212;1.996.579
2007;1.854.235;30.648;1.823.587
2008;2.234.131;384.237;1.849.894
2009;1.138.019;115.718;1.022.301
2010;1.359.251;38.388;1.320.863
2011;1.483.591;114.045;1.369.546
2012;1.257.399;85.316;1.172.083
2013;962.970;11.130;951.840
