Tahun;RS Umum + Khusus;T.Tidur;Puskesmas;Pustu;Pusling;Polindes
1989;20;1.560;153;518;115;
1993;21;1.772;188;661;170;
1994;23;2.024;212;714;209;
1995;23;2.024;212;714;203;
1996;23;1.869;214;749;275;
1997;24;1.860;216;755;211;
1998;24;2.017;218;755;203;
1999;25;2.036;218;755;211;
2000;26;2.165;218;766;217;
2001;22;1.840;218;803;213;
2002;22;1.893;233;695;195;
2003;22;1.932;240;789;238;
2004;31;2.513;247;830;240;
2005;34;2.720;272;798;255;
2006;39;2.718;278;825;293;
2007;43;2.721;284;896;353;2.230
2008;47;3.163;292;903;292;2.348
2009;47;2.533;307;930;339;1.418
2010;49;3.777;316;951;336;1.661
2011;50;3.755;325;957;347;1.932
2012;59;6.350;330;1.219;362;2.312
2013;50;6.722;334;964;361;1.986
