Tahun;Dokter Umum;Dokter Spesialis;Dokter Gigi;Perawat;Bidan
1971;37;1;4;19;107
1975;37;1;8;112;142
1980;37;1;8;112;142
1985;171;1;8;255;174
1990;469;56;136;308;350
1991;480;67;154;1.464;475
1992;480;67;154;1.650;816
1993;534;69;201;1.896;1.226
1994;346;100;75;2.207;1.729
1995;346;100;133;2.668;1.994
1997;352;95;173;1.736;5.117
1999;203;40;86;1.572;1.513
2000;203;40;86;1.572;1.513
2001;181;80;78;2.107;1.710
2002;145;11;46;1.570;1.368
2003;407;90;123;2.024;4.526
2004;234;823;235;243;823
2005;390;82;96;2.519;1.939
2006;552;201;124;2.871;2.013
2007;596;155;154;2.495;1.995
2008;552;185;124;2.863;2.013
2009;660;126;133;4.143;3.979
2010;830;302;173;6.702;6.137
2011;1.137;340;216;9.697;13.859
2012;840;68;178;5.707;8.056
2013;795;440;195;4.924;9.761
