Tahun;Jenis Kelamin;Latin;Lainnya;Buta Huruf;Jumlah
1971;L;76,91;2,47;20,62;100
1971;P;53,92;3;43,08;100
1971;L+P;65,28;2,74;31,98;100
1980;L;80,48;1,73;17,79;100
1980;P;64,64;2,29;33,07;100
1980;L+P;72,56;2,01;25,43;100
1985;L;90,41;2,32;7,27;100
1985;P;77,63;4,21;18,16;100
1985;L+P;83,95;3,27;12,78;100
1990;L;90,32;1,7;7,98;100
1990;P;79,79;2,96;17,25;100
1990;L+P;85,03;2,33;12,64;100
1993;L;91,81;2,17;6,02;100
1993;P;82,27;3,33;14,4;100
1993;L+P;87,04;2,75;10,21;100
1994;L;92,18;1,46;6,36;100
1994;P;83,18;2,44;14,38;100
1994;L+P;87,6;1,96;10,44;100
1995;L;92,17;1,66;6,17;100
1995;P;83,9;3,17;12,93;100
1995;L+P;87,99;2,42;9,58;100
1996;L;93,36;1,29;5,35;100
1996;P;86,25;1,99;11,77;100
1996;L+P;89,73;1,65;8,63;100
1997;L;94,27;1,19;4,53;100
1997;P;87,15;2,13;10,72;100
1997;L+P;90,64;1,67;7,68;100
1998;L;94,94;0,87;4,19;100
1998;P;87,63;2,33;10,03;100
1998;L+P;91,24;1,61;7,14;100
1999;L;95,7;0,87;3,43;100
1999;P;89,46;1,95;8,59;100
1999;L+P;92,55;1,41;6,03;100
2002;L;98,88;;1,12;100
2002;P;96,3;;3,7;100
2002;L+P;97,56;;2,44;100
2003;L;97,15;1,04;1,81;100
2003;P;93,45;1,88;4,67;100
2003;L+P;95,29;1,46;3,45;100
2004;L;97,28;0,54;2,18;100
2004;P;92,84;1,53;5,63;100
2004;L+P;95,03;1,04;3,93;100
2005;L;95,57;1,1;3,33;100
2005;P;91,04;1,78;7,18;100
2005;L+P;93,27;1,44;5,29;100
2006;L;92,71;3,88;3,41;100
2006;P;88,1;5,08;6,81;100
2006;L+P;90,36;4,49;5,15;100
2007;L;94,94;1,97;3,09;100
2007;P;89,93;3,51;6,56;100
2007;L+P;92,38;2,76;4,87;100
2008;L;97,94;4,92;2,06;100
2008;P;94,91;4,45;5,09;100
2008;L+P;96,39;4,68;3,61;100
2009;L;97,1;1,14;1,76;100
2009;P;92,71;2,9;4,38;100
2009;L+P;94,82;2,06;3,13;100
2010;L;97,41;1,69;1,91;100
2010;P;93,77;2,29;3,55;100
2010;L+P;95,56;2;2,74;100
2011;L;97,9;0,01;2,09;100
2011;P;94,77;;5,23;100
2011;L+P;96,32;0,01;3,66;100
2012;L;98,17;0,01;1,83;100
2012;P;95,08;0,01;4,91;100
2012;L+P;96,61;0,01;3,38;100
2013;L;98,23;0,27;1,51;100
2013;P;95,06;0,68;4,25;100
2013;L+P;96,64;0,48;2,89;100
